2017-12-18 16:28:42,311 INFO (1460, 81)
2017-12-18 16:28:42,322 INFO (1459, 80)
2017-12-18 16:28:42,430 INFO (2919, 79)
2017-12-18 16:28:42,454 INFO (2919, 265)
2017-12-18 16:28:42,466 INFO (2919, 262)
2017-12-18 16:28:42,466 INFO (2919, 262)
2017-12-18 16:28:42,818 INFO ((1314, 262), (1314,))
2017-12-18 16:28:53,927 INFO (1460, 81)
2017-12-18 16:28:53,941 INFO (1459, 80)
2017-12-18 16:28:54,058 INFO (2919, 79)
2017-12-18 16:28:54,084 INFO (2919, 265)
2017-12-18 16:28:54,096 INFO (2919, 262)
2017-12-18 16:28:54,096 INFO (2919, 262)
2017-12-18 16:28:54,498 INFO ((1314, 262), (1314,))
2017-12-18 16:29:06,196 INFO (1460, 81)
2017-12-18 16:29:06,210 INFO (1459, 80)
2017-12-18 16:29:06,326 INFO (2919, 79)
2017-12-18 16:29:06,352 INFO (2919, 265)
2017-12-18 16:29:06,364 INFO (2919, 262)
2017-12-18 16:29:06,365 INFO (2919, 262)
2017-12-18 16:29:06,772 INFO ((1314, 262), (1314,))
2017-12-18 16:29:15,553 INFO (1460, 81)
2017-12-18 16:29:15,572 INFO (1459, 80)
2017-12-18 16:29:15,734 INFO (2919, 79)
2017-12-18 16:29:15,767 INFO (2919, 265)
2017-12-18 16:29:15,782 INFO (2919, 262)
2017-12-18 16:29:15,782 INFO (2919, 262)
2017-12-18 16:29:16,507 INFO ((1314, 262), (1314,))
2017-12-18 16:29:25,438 INFO (1460, 81)
2017-12-18 16:29:25,455 INFO (1459, 80)
2017-12-18 16:29:25,600 INFO (2919, 79)
2017-12-18 16:29:25,631 INFO (2919, 265)
2017-12-18 16:29:25,645 INFO (2919, 262)
2017-12-18 16:29:25,645 INFO (2919, 262)
2017-12-18 16:29:26,131 INFO ((1314, 262), (1314,))
2017-12-18 16:29:36,409 INFO (1460, 81)
2017-12-18 16:29:36,425 INFO (1459, 80)
2017-12-18 16:29:36,564 INFO (2919, 79)
2017-12-18 16:29:36,608 INFO (2919, 265)
2017-12-18 16:29:36,624 INFO (2919, 262)
2017-12-18 16:29:36,624 INFO (2919, 262)
2017-12-18 16:29:37,121 INFO ((1314, 262), (1314,))
2017-12-18 16:45:42,509 INFO Tr, mlp2linear, linear, 0.0188800427032
2017-12-18 16:45:42,601 INFO CV, mlp2linear, linear, 0.13740465302
2017-12-18 16:49:55,496 INFO Tr, mlp3linear, linear, 0.0182490215805
2017-12-18 16:49:55,573 INFO CV, mlp3linear, linear, 0.135088925174
2017-12-18 16:54:01,800 INFO Tr, mlp4linear, linear, 0.0172404443157
2017-12-18 16:54:01,867 INFO CV, mlp4linear, linear, 0.131302858077
2017-12-18 17:09:32,865 INFO Tr, mlp4tanh, tanh, 0.154779517124
2017-12-18 17:09:32,948 INFO CV, mlp4tanh, tanh, 0.393420276138
2017-12-18 17:12:24,011 INFO Tr, mlp3tanh, tanh, 0.0112336876134
2017-12-18 17:12:24,113 INFO CV, mlp3tanh, tanh, 0.105989077768
2017-12-18 17:16:27,238 INFO Tr, mlp6linear, linear, 0.0187415678594
2017-12-18 17:16:27,335 INFO CV, mlp6linear, linear, 0.13689982985
2017-12-18 17:26:47,074 INFO Tr, mlp4relu, relu, 0.0150567560898
2017-12-18 17:26:47,172 INFO CV, mlp4relu, relu, 0.122705958168
2017-12-18 17:34:05,832 INFO Tr, mlp3relu, relu, 0.0134702821403
2017-12-18 17:34:05,943 INFO CV, mlp3relu, relu, 0.116061530033
2017-12-18 17:37:41,535 INFO Tr, mlp2tanh, tanh, 0.0138582060271
2017-12-18 17:37:41,610 INFO CV, mlp2tanh, tanh, 0.117720862003
2017-12-18 17:39:00,093 INFO Tr, mlp5linear, linear, 0.0181156697653
2017-12-18 17:39:00,185 INFO CV, mlp5linear, linear, 0.134594448312
2017-12-18 17:40:53,628 INFO Tr, slp, None, 0.0268825857703
2017-12-18 17:40:53,721 INFO CV, slp, None, 0.163959077365
2017-12-18 17:52:53,720 INFO Tr, mlp6tanh, tanh, 0.155897717954
2017-12-18 17:52:53,848 INFO CV, mlp6tanh, tanh, 0.394838847274
2017-12-18 17:55:44,856 INFO Tr, mlp2relu, relu, 0.0128456031318
2017-12-18 17:55:44,945 INFO CV, mlp2relu, relu, 0.113338431668
2017-12-18 17:55:59,238 INFO Tr, mlp4selu, selu, 0.00883258922703
2017-12-18 17:55:59,367 INFO CV, mlp4selu, selu, 0.0939818469447
2017-12-18 17:59:55,460 INFO Tr, mlp3selu, selu, 0.0105383856841
2017-12-18 17:59:55,575 INFO CV, mlp3selu, selu, 0.102656623557
2017-12-18 18:02:54,702 INFO Tr, mlp1linear, linear, 0.0179070374054
2017-12-18 18:02:54,746 INFO CV, mlp1linear, linear, 0.133817165402
2017-12-18 18:09:44,103 INFO Tr, mlp6relu, relu, 0.0503920140751
2017-12-18 18:09:44,191 INFO CV, mlp6relu, relu, 0.2244816318
2017-12-18 18:20:12,661 INFO Tr, mlp2selu, selu, 0.0117067351102
2017-12-18 18:20:12,751 INFO CV, mlp2selu, selu, 0.108197647904
